7	60	37	8	51	58	28	11			
6	1	49	34	55	33	9				
9	20	8	44	48	23	37	39	47	51	
9	43	2	50	33	16	44	11	29	49	
7	14	24	34	37	52	4	35			
6	13	1	12	3	9	2				
8	15	26	58	31	55	21	17	39		
7	41	7	46	60	8	25	27			
10	34	45	58	21	32	40	13	52	11	37
9	20	4	41	31	35	17	10	26	2	
6	43	57	36	55	35	47				
9	6	34	40	54	60	9	47	1	5	
7	16	42	46	15	59	28	34			
9	8	5	57	50	60	48	36	43	45	
10	36	53	60	59	51	48	4	46	26	42
7	18	37	47	58	36	51	59			
9	57	16	26	6	51	44	18	25	42	
6	44	40	13	31	3	42				
8	22	10	27	25	60	28	12	55		
9	26	57	56	36	7	45	5	47	53	
10	20	12	51	16	53	55	7	10	1	4
6	18	39	8	47	21	41				
7	52	26	17	34	57	29	23			
9	49	59	14	30	57	37	31	3	10	
9	13	42	45	27	17	56	12	46	57	
8	54	30	56	12	28	33	51	21		
7	17	27	29	18	49	47	46			
10	54	50	48	5	9	7	44	42	18	11
6	47	40	38	21	41	30				
6	6	30	35	12	33	29				
9	44	14	3	4	12	33	15	57	16	
8	21	55	22	41	35	46	45	9		
8	46	21	35	3	31	18	36	45		
10	9	15	5	19	58	42	51	56	30	3
9	7	53	48	47	42	44	43	35	1	
7	30	3	10	54	5	45	60			
9	28	52	41	21	48	39	55	15	6	
9	13	19	4	57	31	22	42	27	38	
9	15	7	30	1	50	14	49	46	34	
9	25	27	7	35	3	48	32	4	5	
10	54	47	45	51	35	24	44	34	50	18
8	43	55	7	22	52	44	6	41		
9	50	58	10	21	2	15	11	35	37	
10	34	12	5	54	36	3	13	14	25	28
9	6	3	60	43	31	24	57	22	14	
10	27	48	5	59	20	22	14	23	46	28
9	52	27	21	12	22	54	49	60	10	
9	31	1	35	60	56	27	29	18	42	
7	59	27	9	41	44	6	19			
9	17	18	28	54	40	31	60	32	14	
6	47	28	5	56	34	31				
10	23	34	32	18	45	39	53	28	50	52
9	58	60	45	2	11	19	9	31	25	
6	36	23	26	60	17	14				
8	18	38	28	58	36	52	27	12		
7	28	4	54	50	53	60	46			
7	37	7	13	26	5	49	28			
7	42	45	30	19	22	21	40			
7	47	60	44	5	16	14	43			
9	20	49	6	39	10	48	5	7	47	
7	54	2	28	21	33	1	3			
8	35	27	44	17	58	9	10	24		
10	43	45	31	9	23	49	57	10	41	25
10	31	35	37	5	22	27	38	13	57	36
7	28	53	42	20	48	11	12			
7	25	36	37	11	30	50	55			
8	60	11	21	17	49	44	57	47		
8	36	7	37	53	9	52	2	29		
10	25	31	42	26	33	23	14	11	56	60
9	42	18	39	59	36	45	58	20	16	
10	21	16	49	60	50	45	42	34	12	52
6	50	13	36	20	42	55				
6	13	4	27	1	58	40				
10	32	16	53	55	35	37	28	9	31	2
10	26	38	7	29	3	14	32	11	19	25
10	14	45	6	52	48	20	35	36	3	29
8	19	15	28	34	4	52	38	16		
7	34	17	37	21	18	31	46			
7	17	44	15	38	25	19	36			
6	3	52	31	28	40	29				
10	49	18	4	40	34	53	29	30	10	38
8	35	49	53	18	50	37	43	17		
9	30	34	48	18	59	28	52	6	40	
10	56	48	12	29	18	40	59	28	14	23
8	34	1	4	43	41	14	32	6		
7	18	20	33	14	47	32	12			
9	18	11	29	19	6	35	49	23	42	
9	27	37	12	15	59	24	38	47	14	
6	51	19	12	8	59	52				
9	23	55	18	40	6	16	48	9	22	
6	24	13	2	10	33	44				
9	21	33	3	6	38	8	28	42	39	
9	38	31	32	41	21	13	4	6	40	
8	58	10	24	16	1	23	7	11		
7	47	60	56	42	30	1	3			
7	3	43	35	39	27	49	47			
7	31	42	21	48	33	29	28			
10	35	10	59	7	4	53	36	48	43	21
9	13	46	54	22	56	10	31	45	55	
7	59	14	17	9	28	51	46			
10	57	26	15	54	59	49	55	25	60	3
7	10	14	23	25	42	29	7			
9	49	27	55	31	45	17	57	9	34	
6	7	60	36	38	44	21				
9	23	26	35	16	55	56	15	43	3	
10	56	15	16	30	48	19	17	52	24	3
8	31	19	26	13	38	48	21	50		
8	29	36	31	57	35	15	60	53		
8	10	14	56	18	34	51	36	21		
6	17	19	29	3	30	20				
6	8	27	26	14	36	48				
9	43	2	25	19	54	8	12	30	59	
6	19	44	23	14	5	10				
8	47	11	23	4	3	25	1	36		
7	2	4	5	25	36	47	43			
6	39	54	21	58	59	42				
6	20	34	13	38	55	28				
10	44	52	17	21	56	35	4	45	46	36
7	41	33	43	5	39	11	7			
8	1	3	47	16	33	43	25	41		
6	46	48	13	31	15	47				
6	28	36	25	37	3	41				
6	18	33	38	24	46	7				
8	42	14	54	22	24	58	57	32		
7	45	4	33	32	52	12	35			
9	18	43	48	24	16	35	41	56	50	
9	44	24	53	22	15	32	48	6	41	
10	3	8	49	52	35	17	28	56	47	46
9	40	16	33	36	47	46	52	14	1	
8	21	30	13	59	31	58	25	6		
8	29	20	28	34	3	17	46	53		
8	40	20	32	36	6	7	4	30		
6	33	34	29	41	40	7				
9	29	46	44	42	34	35	47	23	37	
9	58	27	48	50	36	4	19	14	21	
9	32	8	29	3	55	30	44	49	14	
10	43	55	25	2	29	31	34	51	10	16
6	47	49	54	37	36	12				
10	42	30	56	7	29	60	43	19	33	13
8	57	58	11	48	45	21	32	41		
7	3	5	23	42	34	52	49			
8	58	13	41	7	20	39	4	11		
9	44	40	25	14	39	8	45	15	41	
10	36	4	60	49	34	54	50	7	23	51
8	51	7	53	54	4	18	23	13		
9	31	53	46	2	13	12	18	15	28	
6	33	39	43	9	51	7				
8	26	21	29	41	48	12	44	45		
7	60	40	33	7	9	48	10			
9	10	11	55	28	37	53	2	22	9	
8	30	2	58	40	45	27	8	33		
9	55	28	27	40	9	18	37	45	57	
10	12	13	53	32	25	58	1	47	19	9
7	60	52	41	21	48	47	25			
9	18	20	44	25	4	2	36	58	23	
6	31	7	5	18	56	28				
6	56	48	46	17	45	5				
9	59	1	21	49	55	23	31	27	44	
8	47	31	42	6	22	28	51	9		
8	37	45	50	31	44	58	28	42		
9	4	57	2	19	41	58	23	32	27	
8	24	1	51	54	23	5	22	52		
9	35	11	25	32	28	18	20	19	48	
7	5	15	21	46	2	38	35			
9	50	27	26	4	14	11	45	21	8	
6	2	11	58	32	57	26				
6	42	27	55	56	47	35				
9	5	30	7	3	11	45	53	32	33	
9	59	24	21	4	46	18	35	9	60	
6	1	60	28	38	51	12				
10	41	53	26	46	39	60	30	48	45	2
6	38	26	52	47	22	33				
8	32	1	3	30	35	60	33	26		
7	5	52	7	13	32	53	56			
7	14	40	46	32	50	58	31			
6	59	39	26	54	15	37				
6	34	25	33	9	19	21				
7	19	30	50	32	46	58	8			
7	56	34	49	16	4	48	6			
10	30	60	3	32	24	37	43	47	27	1
10	30	18	47	38	45	54	19	32	57	13
6	32	36	30	54	8	60				
6	8	5	35	30	51	45				
7	5	35	47	10	33	34	9			
7	9	14	29	30	35	10	27			
10	6	60	3	37	46	35	17	15	48	53
9	51	5	18	41	16	34	22	42	6	
8	55	2	15	1	45	8	27	32		
6	17	55	7	4	20	15				
6	17	44	2	6	29	39				
7	43	47	17	49	12	22	16			
10	30	59	12	18	25	50	13	39	54	55
10	43	29	49	30	37	27	48	56	3	20
7	27	7	44	26	38	12	55			
6	14	35	18	49	11	21				
8	53	2	19	55	29	56	9	6		
9	21	27	29	28	6	47	14	31	17	
7	20	14	32	38	36	29	11			
7	35	5	54	60	53	46	21			
8	53	15	35	18	59	25	50	32		
