481|506>Returning:1476464417.34
475|502>Returning:1476463940.73
486|504>Returning:1476464379.49
483|505>Returning:1476464425.57
484|505>Returning:1476465568.79
474|489>Returning:1476463988.7
480|502>Returning:1476464181.66
485|486>Returning:1476464466.66
489|498>Returning:1476465590.9
489|500>Returning:1476466266.96
492|495>Returning:1476467280.15
480|481>Returning:1476466885.31
491|500>Returning:1476467709.74
483|499>Returning:1476463932.34
474|495>Returning:1476465134.97
480|490>Returning:1476464073.0
483|490>Returning:1476464088.16
484|490>Returning:1476464501.65
485|490>Returning:1476465016.98
485|496>Returning:1476465030.94
478|489>Returning:1476465190.15
483|488>Returning:1476465221.13
484|496>Returning:1476464613.56
487|493>Returning:1476466225.86
476|490>Returning:1476466299.33
477|499>Returning:1476466631.05
486|487>Returning:1476467085.27
475|498>Returning:1476467506.41
481|484>Returning:1476467529.83
482|484>Returning:1476467544.98
485|501>Returning:1476467676.74
482|483>Returning:1476468174.26
479|483>Returning:1476468303.7
486|483>Returning:1476469065.62
491|493>Returning:1476471000.46
481|481>Returning:1476471355.78
491|489>Returning:1476471536.53
478|495>Returning:1476465473.95
474|494>Returning:1476469020.39
484|494>Returning:1476465613.33
480|487>Returning:1476467401.86
476|496>Returning:1476467950.33
475|497>Returning:1476469860.44
474|493>Returning:1476469937.03
473|495>Returning:1476470976.34
473|498>Returning:1476472164.54
490|500>Returning:1476472960.96
491|499>Returning:1476471525.74
481|493>484|494>Returning:1476466109.36
481|493>480|490>Returning:1476466380.78
481|493>483|490>Returning:1476466396.42
481|493>478|495>Returning:1476467368.53
481|493>484|490>Returning:1476467521.59
481|493>484|496>Returning:1476467539.03
481|493>484|494>Returning:1476471621.43
481|493>480|490>Returning:1476471892.66
481|493>483|490>Returning:1476471911.77
481|493>478|495>Returning:1476472220.72
481|493>484|490>Returning:1476472343.65
481|493>484|494>Returning:1476471814.83
481|493>484|494>Returning:1476472216.43
481|493>484|494>Returning:1476472389.33
481|493>484|494>Returning:1476472402.8
481|493>484|494>Returning:1476472417.57
481|493>484|494>Returning:1476472431.73
481|493>484|494>Returning:1476472555.69
481|493>484|496>Returning:1476473620.81
481|493>485|490>Returning:1476474135.39
481|493>485|496>Returning:1476474149.68
481|493>478|489>Returning:1476474307.8
481|493>483|488>Returning:1476474340.44
481|493>480|487>Returning:1476474815.67
481|493>485|489>Returning:1476474830.99
481|493>483|499>Returning:1476475031.4
481|493>487|493>Returning:1476475338.58
481|493>476|490>Returning:1476475410.36
481|493>476|496>Returning:1476475424.91
481|493>477|499>Returning:1476475756.48
481|493>475|497>Returning:1476476019.06
481|493>474|493>Returning:1476476080.74
481|493>485|486>Returning:1476476103.98
481|493>484|494>Returning:1476473585.04
481|493>474|495>Returning:1476476663.11
481|493>483|501>Returning:1476478061.06
481|493>486|487>Returning:1476478075.08
481|493>474|494>Returning:1476478382.15
481|493>474|489>Returning:1476478620.84
481|493>475|498>Returning:1476477139.02
481|493>481|484>Returning:1476478664.4
481|493>482|484>Returning:1476478680.14
481|493>480|502>Returning:1476478804.41
481|493>485|501>Returning:1476478863.64
481|493>473|495>Returning:1476479039.44
481|493>489|498>Returning:1476479468.41
481|493>482|483>Returning:1476479530.52
481|493>479|483>Returning:1476479693.73
481|493>473|498>Returning:1476480275.38
481|493>489|500>Returning:1476480383.59
481|493>486|483>Returning:1476478784.6
481|493>491|493>Returning:1476478803.67
481|493>475|502>Returning:1476478926.67
481|493>481|481>Returning:1476479100.64
481|493>480|481>Returning:1476479149.61
481|493>490|500>Returning:1476479170.71
481|493>486|504>Returning:1476479256.34
481|493>483|505>Returning:1476481328.11
481|493>491|489>Returning:1476481346.62
481|493>484|505>Returning:1476479488.87
481|493>492|495>Returning:1476479719.73
481|493>491|499>Returning:1476476578.49
481|493>491|500>Returning:1476476597.43
481|493>481|506>Returning:1476476617.9
481|493>483|506>Returning:1476476668.07
481|493>470|497>Returning:1476476750.31
481|493>480|490>Returning:1476474472.25
481|493>483|490>Returning:1476474864.8
481|493>478|495>Returning:1476475171.31
481|493>484|494>Returning:1476475466.37
481|493>484|490>Returning:1476476834.76
481|493>484|496>Returning:1476476850.26
481|493>485|490>Returning:1476477338.09
481|493>485|496>Returning:1476477358.07
481|493>478|489>Returning:1476477520.42
481|493>483|488>Returning:1476477556.93
481|493>480|490>Returning:1476476932.68
481|493>483|490>Returning:1476476948.31
481|493>480|487>Returning:1476478482.75
481|493>485|489>Returning:1476478498.21
481|493>470|494>Returning:1476482710.56
481|493>478|495>Returning:1476477780.67
481|493>483|499>Returning:1476479208.88
481|493>487|493>Returning:1476479514.37
481|493>476|490>Returning:1476479588.11
481|493>476|496>Returning:1476479605.83
481|493>470|496>Returning:1476483452.85
481|493>475|497>Returning:1476481263.12
481|493>474|493>Returning:1476481329.07
481|493>491|499>Returning:1476484216.32
481|493>491|500>Returning:1476484236.15
481|493>481|506>Returning:1476484256.14
481|493>483|506>Returning:1476484330.53
481|493>469|491>Returning:1476481364.21
481|493>486|506>Returning:1476481386.2
481|493>469|497>Returning:1476481540.48
481|493>480|490>Returning:1476479064.41
481|493>483|490>Returning:1476479080.48
481|493>484|490>Returning:1476479492.78
481|493>484|496>Returning:1476480207.59
481|493>474|495>Returning:1476479863.38
481|493>470|497>Returning:1476481539.14
481|493>478|495>Returning:1476480205.31
481|493>483|488>Returning:1476481003.96
481|493>483|501>Returning:1476483037.94
481|493>486|487>Returning:1476483068.66
481|493>474|494>Returning:1476483580.44
481|493>480|502>Returning:1476484288.21
481|493>485|501>Returning:1476484350.82
481|493>486|483>Returning:1476485725.6
481|493>491|493>Returning:1476485756.27
481|493>475|502>Returning:1476485891.86
481|493>484|490>Returning:1476482000.87
481|493>487|493>Returning:1476483628.44
481|493>476|490>Returning:1476483717.25
481|493>476|496>Returning:1476483747.92
481|493>489|498>Returning:1476485510.63
481|493>482|483>Returning:1476485577.56
481|493>479|483>Returning:1476485722.75
481|493>486|504>Returning:1476486867.07
481|493>484|505>Returning:1476487080.07
481|493>492|495>Returning:1476487325.01
481|493>483|490>Returning:1476482538.97
481|493>485|490>Returning:1476483468.72
481|493>485|486>Returning:1476485276.34
481|493>489|500>Returning:1476487078.04
481|493>483|488>Returning:1476484213.15
481|493>474|493>Returning:1476486107.47
481|493>483|505>Returning:1476488531.02
481|493>491|489>Returning:1476488545.96
481|493>469|491>Returning:1476489596.62
481|493>486|506>Returning:1476489617.97
481|493>470|497>Returning:1476489370.8
481|493>469|497>Returning:1476490029.81
481|493>484|490>Returning:1476484468.09
481|493>478|489>Returning:1476485221.4
481|493>480|490>Returning:1476484414.92
481|493>483|490>Returning:1476484656.39
481|493>470|494>Returning:1476490537.77
481|493>483|501>Returning:1476487948.44
481|493>486|487>Returning:1476487963.32
481|493>470|496>Returning:1476491398.04
481|493>485|490>Returning:1476487334.42
481|493>487|493>Returning:1476489335.53
481|493>476|490>Returning:1476489425.83
481|493>476|496>Returning:1476489442.37
481|493>474|494>Returning:1476490722.77
481|493>481|484>Returning:1476489482.02
481|493>482|484>Returning:1476489498.05
481|493>491|499>Returning:1476493992.69
481|493>491|500>Returning:1476491846.61
481|493>481|506>Returning:1476491869.23
481|493>483|488>Returning:1476487525.57
481|493>480|502>Returning:1476489789.97
481|493>485|501>Returning:1476491372.22
481|493>483|506>Returning:1476492115.35
481|493>480|490>Returning:1476487196.64
481|493>484|490>Returning:1476487723.51
481|493>483|490>Returning:1476486739.89
481|493>480|487>Returning:1476489293.18
481|493>484|494>Returning:1476486796.9
481|493>478|495>Returning:1476487359.98
481|493>484|496>Returning:1476487482.0
481|493>485|496>Returning:1476487999.03
481|493>478|489>Returning:1476488333.76
481|493>485|486>Returning:1476490075.07
481|493>485|489>Returning:1476489031.0
481|493>489|498>Returning:1476491401.7
481|493>482|483>Returning:1476491454.63
481|493>479|483>Returning:1476489206.53
481|493>486|483>Returning:1476489651.91
481|493>491|493>Returning:1476489671.0
481|493>475|502>Returning:1476492763.43
481|493>474|493>Returning:1476490907.87
481|493>483|490>Returning:1476488825.5
481|493>475|481>Returning:1476494874.73
481|493>486|504>Returning:1476494033.32
481|493>489|500>Returning:1476490867.04
481|493>481|481>Returning:1476491173.12
481|493>484|505>Returning:1476496546.02
481|493>477|499>Returning:1476493007.52
481|493>492|495>Returning:1476491638.28
481|493>478|495>Returning:1476489796.73
481|493>485|490>Returning:1476490422.22
481|493>480|481>Returning:1476494520.73
481|493>484|496>Returning:1476490046.27
481|493>483|488>Returning:1476489398.37
